at_bats,hits,walks,strikeouts,game_id,team
38,11,2,8,360501129,ARI
33,9,2,7,360501102,NYY
37,14,3,4,360501102,BOS
37,11,5,9,360502123,CHC
32,7,3,9,360502123,PIT
32,7,3,6,360502114,TEX
32,7,4,10,360502114,TOR
40,14,4,7,360502117,SF
33,8,2,11,360502117,CIN
34,9,0,8,360502121,ATL
30,8,5,5,360502121,NYM
37,11,4,7,360502108,LAA
34,14,4,9,360502108,MIL
32,8,5,10,360502118,MIN
31,5,6,11,360502118,HOU
34,9,2,10,360502107,WSH
31,5,2,5,360502107,KC
34,8,1,6,360502124,PHI
38,14,4,7,360502124,STL
36,12,1,7,360502111,SEA
32,6,2,10,360502111,OAK
32,9,3,11,360502125,COL
29,6,3,12,360502125,SD
37,12,1,10,360503105,DET
32,10,4,5,360503105,CLE
32,7,4,9,360503101,NYY
31,5,2,6,360503101,BAL
36,11,5,7,360503123,CHC
30,3,3,7,360503123,PIT
36,6,2,7,360503114,TEX
35,9,6,11,360503114,TOR
35,10,5,7,360503117,SF
29,3,2,9,360503117,CIN
35,8,3,6,360503121,ATL
27,1,2,5,360503121,NYM
33,9,3,6,360503128,ARI
30,8,5,7,360503128,MIA
40,13,3,8,360503130,LAD
35,8,3,10,360503130,TB
30,4,0,6,360503104,BOS
28,5,7,8,360503104,CHW
32,9,3,5,360503108,LAA
30,7,5,9,360503108,MIL
33,7,2,8,360503118,MIN
28,5,4,7,360503118,HOU
39,12,1,7,360503107,WSH
35,11,2,5,360503107,KC
30,5,3,9,360503124,PHI
30,3,1,11,360503124,STL
39,13,1,9,360503111,SEA
31,6,2,4,360503111,OAK
28,5,3,11,360503125,COL
32,9,1,5,360503125,SD
34,9,2,5,360504117,SF
34,10,1,8,360504117,CIN
37,13,5,4,360504123,CHC
37,11,2,8,360504123,PIT
30,3,0,11,360504121,ATL
32,8,5,9,360504121,NYM
36,12,5,5,360504108,LAA
34,9,4,7,360504108,MIL
43,16,2,6,360504107,WSH
32,5,2,11,360504107,KC
42,16,3,9,360504111,SEA
39,11,1,3,360504111,OAK
31,8,4,6,360504125,COL
29,3,1,7,360504125,SD
30,5,2,7,360504105,DET
26,5,3,7,360504105,CLE
35,10,5,5,360504101,NYY
31,7,4,10,360504101,BAL
34,8,3,8,360504114,TEX
32,7,3,8,360504114,TOR
34,9,3,11,360504128,ARI
